City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Thompson,55.7435,-97.8558,75.7,29,23,14.9,CA,1627686030
Asău,46.4333,26.4,68.4,78,1,4.03,RO,1627686032
Dikson,73.5069,80.5464,43.29,98,98,7.56,RU,1627685881
Kapaa,22.0752,-159.319,85.98,70,72,1.99,US,1627686037
Qaanaaq,77.484,-69.3632,41.85,90,99,0.72,GL,1627686039
Avarua,-21.2078,-159.775,77.05,65,100,16.11,CK,1627686042
Santa Fe,-31.6333,-60.7,55.0,45,0,3.0,AR,1627686044
Vila Franca do Campo,37.7167,-25.4333,70.21,88,11,5.48,PT,1627685953
Maracaçumé,-2.0428,-45.9592,73.11,98,78,3.56,BR,1627686049
Geraldton,-28.7667,114.6,56.12,71,40,12.66,AU,1627686051
Khatanga,71.9667,102.5,76.37,45,23,12.5,RU,1627686054
Bluff,-46.6,168.3333,49.8,90,100,8.99,NZ,1627686056
Waipawa,-41.4122,175.5153,50.63,77,5,7.31,NZ,1627686059
Lębork,54.5392,17.7501,62.15,85,5,6.82,PL,1627686061
Flin Flon,54.7682,-101.865,78.76,29,74,11.74,CA,1627686014
Narón,43.5167,-8.1528,63.01,74,95,6.13,ES,1627686065
Tuktoyaktuk,69.4541,-133.0374,64.4,72,75,13.8,CA,1627685884
Rikitea,-23.1203,-134.9692,71.98,76,84,10.78,PF,1627685861
Saint-Philippe,-21.3585,55.7679,67.59,74,80,14.52,RE,1627686072
Siguiri,11.6667,-9.5,73.76,94,100,2.06,GN,1627686074
Mahébourg,-20.4081,57.7,66.25,63,49,16.78,MU,1627686070
Verkhoyansk,67.5447,133.385,69.46,33,74,3.42,RU,1627686078
Lima,-12.0432,-77.0282,61.9,81,90,9.22,PE,1627685906
Quartz Hill,34.6453,-118.2181,102.74,16,37,5.01,US,1627686083
Santa Luzia,-19.7697,-43.8514,58.55,72,1,9.31,BR,1627686085
Kaohsiung City,22.6163,120.3133,77.09,99,75,4.0,TW,1627686087
Kaitangata,-46.2817,169.8464,53.92,83,97,4.81,NZ,1627686089
Manjacaze,-24.7117,33.8828,62.4,88,30,3.76,MZ,1627686092
Nome,64.5011,-165.4064,51.17,96,100,5.95,US,1627686094
East London,-33.0153,27.9116,58.51,65,7,5.57,ZA,1627686096
Nikolskoye,59.7035,30.7861,61.02,71,35,7.31,RU,1627686719
Oktyabr'skiy,54.4815,53.471,64.47,79,78,5.68,RU,1627686721
Hofn,64.2539,-15.2082,50.25,85,13,7.07,IS,1627686724
Muros,42.7762,-9.0603,64.24,80,41,8.88,ES,1627686765
Ushuaia,-54.8,-68.3,37.06,65,40,13.8,AR,1627687066
Hauterive,46.0901,3.4459,66.96,86,65,3.15,FR,1627687068
Hailey,43.5196,-114.3153,89.46,29,40,11.5,US,1627687087
Taltal,-25.4,-70.4833,61.11,67,21,4.68,CL,1627687089
Nanortalik,60.1432,-45.2371,44.6,86,100,11.07,GL,1627687328
Mount Isa,-20.7333,139.5,69.57,35,4,1.14,AU,1627687331
Port Lincoln,-34.7333,135.8667,55.49,94,86,9.78,AU,1627687220
Cape Town,-33.9258,18.4232,53.28,92,0,5.75,ZA,1627687233
Yellowknife,62.456,-114.3525,74.28,60,75,9.22,CA,1627687337
Mataura,-46.1927,168.8643,49.48,99,100,1.74,NZ,1627687339
Mobaye,4.319,21.1786,72.14,90,100,2.77,CF,1627687342
Airai,-8.9266,125.4092,61.81,62,52,2.39,TL,1627687229
Nola,40.922,14.5329,84.27,47,0,0.87,IT,1627687346
Port Hardy,50.6996,-127.4199,68.18,73,20,9.22,CA,1627687348
Esperance,-33.8667,121.9,45.34,86,64,14.74,AU,1627687351
Potenza,40.6443,15.8086,75.11,60,0,1.01,IT,1627687353
Khorramshahr,30.4397,48.1664,85.96,54,0,2.3,IR,1627687355
Faanui,-16.4833,-151.75,77.61,73,70,17.45,PF,1627687211
Yagodnoye,62.55,149.6667,49.68,56,7,2.73,RU,1627687360
Srednekolymsk,67.45,153.6833,51.13,49,100,11.74,RU,1627687362
Saint George,37.1041,-113.5841,95.47,29,1,6.91,US,1627687364
George Town,5.4112,100.3354,76.95,92,20,2.3,MY,1627687308
San Patricio,28.017,-97.5169,95.72,52,79,13.42,US,1627687368
Mar del Plata,-38.0023,-57.5575,54.88,55,0,1.01,AR,1627687372
Tilichiki,60.4667,166.1,53.83,47,6,17.31,RU,1627687374
Nelson Bay,-32.7167,152.15,54.95,74,2,5.19,AU,1627687376
Paamiut,61.994,-49.6678,45.57,86,100,6.4,GL,1627687378
Barrow,71.2906,-156.7887,51.82,87,90,9.22,US,1627687294
Itaueira,-7.6033,-43.0256,86.49,28,32,11.05,BR,1627687383
Busselton,-33.65,115.3333,42.08,73,96,11.52,AU,1627687385
Abnūb,27.2696,31.1511,87.57,25,100,4.0,EG,1627687387
Goderich,43.7501,-81.7165,64.9,59,0,9.22,CA,1627687389
Talara,-4.5772,-81.2719,67.32,84,76,14.67,PE,1627687392
Pacific Grove,36.6177,-121.9166,93.81,77,1,1.99,US,1627687394
Coffeyville,37.0373,-95.6164,96.03,49,1,5.75,US,1627687396
Tigil',57.8,158.6667,56.7,58,88,7.63,RU,1627687399
Sadovoye,47.7764,44.5089,77.97,26,9,8.14,RU,1627687401
Dharampur,20.5333,73.1833,77.94,88,100,11.5,IN,1627687403
Los Llanos de Aridane,28.6585,-17.9182,68.13,91,0,19.57,ES,1627687406
Carnarvon,-24.8667,113.6333,62.67,57,90,23.02,AU,1627687176
São João da Barra,-21.6403,-41.0511,62.02,63,25,15.59,BR,1627687410
Kutum,14.2,24.6667,72.36,73,92,12.35,SD,1627687412
Sitka,57.0531,-135.33,67.89,64,40,6.91,US,1627687414
Saint-Joseph,-21.3667,55.6167,66.58,74,45,15.26,RE,1627687417
Peace River,56.2501,-117.286,84.51,23,20,2.3,CA,1627687419
Atasū,48.6814,71.6433,62.74,41,4,3.15,KZ,1627687421
Tautira,-17.7333,-149.15,82.42,69,57,16.87,PF,1627687423
Camacha,33.0833,-16.3333,69.22,73,75,10.36,PT,1627687426
Lompoc,34.6391,-120.4579,90.12,74,90,14.97,US,1627687428
Severo-Kuril'sk,50.6789,156.125,55.94,93,99,14.63,RU,1627687430
Bilibino,68.0546,166.4372,39.72,57,100,6.55,RU,1627687433
Humberto de Campos,-2.5983,-43.4611,76.19,91,30,5.19,BR,1627687435
Conde,-7.2597,-34.9075,74.66,88,75,6.91,BR,1627687437
Chifeng,42.2683,118.9636,69.12,83,75,3.04,CN,1627687439
Laurens,32.4502,-82.9165,93.54,66,1,4.61,US,1627687442
Aksarka,66.5606,67.7975,47.37,91,100,9.66,RU,1627687444
Port-Gentil,-0.7193,8.7815,76.96,83,40,10.36,GA,1627687446
Departamento de Maldonado,-34.6667,-54.9167,50.23,81,0,6.51,UY,1627687448
Tadine,-21.55,167.8833,70.3,50,4,21.56,NC,1627687451
Ilulissat,69.2167,-51.1,59.02,38,73,10.36,GL,1627687453
Assiut,27.181,31.1837,87.28,25,93,4.05,EG,1627687455
Viedma,-40.8135,-62.9967,52.81,63,90,11.36,AR,1627687457
Aranos,-24.1333,19.1167,50.56,27,0,9.93,NA,1627687460
Hasaki,35.7333,140.8333,79.29,77,2,12.15,JP,1627687235
Kuril'sk,45.2333,147.8833,71.33,81,62,3.33,RU,1627687464
Comodoro Rivadavia,-45.8667,-67.5,46.26,29,0,11.5,AR,1627687219
Talnakh,69.4865,88.3972,58.5,90,100,6.33,RU,1627687468
Bredasdorp,-34.5322,20.0403,43.92,87,2,1.14,ZA,1627687470
Barbastro,42.0356,0.1269,75.38,54,0,2.71,ES,1627687473
Lang Son,21.8333,106.7333,78.75,92,100,1.45,VN,1627687475
Terracina,41.2863,13.2217,80.29,99,0,2.33,IT,1627687477
Temir,49.1414,57.13,76.59,26,19,9.4,KZ,1627687479
Kindu,-2.95,25.95,74.26,39,50,3.0,CD,1627687482
Narsaq,60.9167,-46.05,61.02,65,100,4.81,GL,1627687484
Hithadhoo,-0.6,73.0833,80.73,77,94,6.22,MV,1627687274
Port Macquarie,-31.4333,152.9167,54.9,50,0,7.29,AU,1627687488
Yanam,16.7333,82.2167,77.43,89,100,5.21,IN,1627687490
Masallātah,32.6167,14.0,81.05,40,0,8.81,LY,1627687493
Lagoa,39.05,-27.9833,70.56,86,7,5.91,PT,1627687495
Provideniya,64.3833,-173.3,47.21,94,100,4.76,RU,1627687497
Maxixe,-23.8597,35.3472,63.63,76,0,7.2,MZ,1627687500
Ribeira Grande,38.5167,-28.7,71.38,85,13,6.82,PT,1627687502
Cherskiy,68.75,161.3,36.66,94,100,7.4,RU,1627687505
Taoudenni,22.6783,-3.9836,95.36,28,15,10.27,ML,1627687507
Ponta do Sol,32.6667,-17.1,72.23,78,9,5.28,PT,1627687509
Batagay,67.6333,134.6333,68.2,37,63,2.86,RU,1627687512
Tezu,27.9167,96.1667,76.35,84,97,1.48,IN,1627687514
Kralendijk,12.15,-68.2667,82.38,78,1,16.11,BQ,1627687516
Omsukchan,62.5333,155.8,44.38,68,87,7.65,RU,1627687518
Sørland,67.667,12.6934,49.59,82,100,27.02,NO,1627687521
Sumbe,-11.2061,13.8437,69.71,92,2,6.6,AO,1627687523
Inhambane,-23.865,35.3833,65.21,73,0,8.79,MZ,1627687525
Longyearbyen,78.2186,15.6401,39.04,70,40,16.11,SJ,1627687527
Mourniés,35.4764,24.0092,86.83,61,0,0.0,GR,1627687530
Ormara,25.2088,64.6357,81.46,85,100,11.45,PK,1627687532
Guerrero Negro,27.9769,-114.0611,80.33,59,13,17.67,MX,1627687534
Faya,18.3851,42.4509,68.11,61,93,12.28,SA,1627687537
Luang Prabang,19.8856,102.1347,72.64,98,100,1.32,LA,1627687539
Bambous Virieux,-20.3428,57.7575,70.05,64,40,12.66,MU,1627687541
Candelaria,13.9311,121.4233,80.38,86,100,4.52,PH,1627687543
Buin,-33.7333,-70.75,62.74,41,2,1.43,CL,1627687546
Saint Paul Harbor,57.79,-152.4072,54.91,76,90,3.44,US,1627687548
Shagonar,51.5333,92.8,56.3,94,100,7.14,RU,1627687550
Santarém,-2.4431,-54.7083,75.33,94,40,2.3,BR,1627687527
Rayong,12.8333,101.4333,81.77,99,100,6.71,TH,1627687555
Moberly,39.4184,-92.4382,87.84,65,40,6.91,US,1627687557
Rosário Oeste,-14.8361,-56.4275,68.04,27,0,3.02,BR,1627687559
Atuona,-9.8,-139.0333,77.18,75,34,15.52,PF,1627687359
Lüderitz,-26.6481,15.1594,67.55,30,0,6.82,NA,1627687563
Sola,-13.8833,167.55,78.37,75,84,17.11,VU,1627687566
Okhotsk,59.3833,143.3,59.65,56,87,2.98,RU,1627687568
Aykhal,66.0,111.5,67.51,38,0,4.52,RU,1627687570
Cartagena,10.3997,-75.5144,85.62,74,40,12.66,CO,1627687430
Grand Gaube,-20.0064,57.6608,70.2,72,55,7.0,MU,1627687575
Ostrovnoy,68.0531,39.5131,44.4,94,99,7.9,RU,1627687577
Buchanan,5.8808,-10.0467,78.76,86,35,8.57,LR,1627687579
Negara,-8.3151,114.6025,73.94,87,38,8.05,ID,1627687581
Hamilton,39.1834,-84.5333,82.04,55,1,1.01,US,1627687584
Guangming,45.3333,122.7833,69.66,96,100,5.91,CN,1627687586
Okha,53.5739,142.9478,53.31,77,100,11.27,RU,1627687588
Laas,46.6166,10.7002,63.36,87,60,2.39,IT,1627687590
Karpathos,35.507,27.2132,82.4,64,0,15.08,GR,1627687593
Kolyvan',55.3053,82.7391,49.62,74,72,5.91,RU,1627687595
Okmulgee,35.6234,-95.9605,98.83,41,1,6.91,US,1627687597
Udupi,13.35,74.75,78.04,84,100,10.83,IN,1627687599
Nikki,9.9401,3.2108,71.1,97,100,3.44,BJ,1627687602
Weihe,32.9952,105.3247,67.84,93,0,3.2,CN,1627687604
Pevek,69.7008,170.3133,33.01,89,100,12.17,RU,1627687606
Calama,-22.4667,-68.9333,59.49,18,20,5.75,CL,1627687608
Half Moon Bay,37.4636,-122.4286,97.92,63,1,1.01,US,1627687354
Nuuk,64.1835,-51.7216,54.21,71,92,3.44,GL,1627687613
Anapskaya,44.89,37.38,66.43,82,0,6.71,RU,1627687615
Kavieng,-2.5744,150.7967,83.53,74,67,8.08,PG,1627687617
Tabuk,17.4189,121.4443,79.48,79,99,1.41,PH,1627687620
Neryungri,56.6709,124.6491,50.27,85,82,5.08,RU,1627687622
Pangody,65.85,74.4859,50.38,74,100,12.84,RU,1627687624
Amarante do Maranhão,-5.5667,-46.7422,75.27,73,44,3.47,BR,1627687626
Skjervøy,70.0311,20.9714,47.66,93,100,9.26,NO,1627687629
Roald,62.5833,6.1333,56.91,71,75,8.05,NO,1627687631
Antofagasta,-23.65,-70.4,56.48,87,43,6.31,CL,1627687345
Cayenne,4.9333,-52.3333,83.08,78,40,1.99,GF,1627687635
Gorontalo,0.5412,123.0595,76.73,91,58,1.97,ID,1627687637
Mago,53.2514,140.1822,53.73,85,100,7.83,RU,1627687640
Poum,-20.2333,164.0167,70.66,57,0,24.54,NC,1627687642
Saint-Pierre,-21.3393,55.4781,67.68,77,75,16.11,RE,1627687644
Abhā,18.2164,42.5053,67.82,77,20,9.22,SA,1627687646
Traverse City,44.7631,-85.6206,66.94,48,20,4.61,US,1627687649
Tinglev,54.931,9.2524,62.38,89,75,5.01,DK,1627687651
Bud,39.447,-86.1758,78.82,45,5,7.05,US,1627687653
Ampanihy,-24.7,44.75,63.75,81,0,5.35,MG,1627687655
Qaqortoq,60.7167,-46.0333,61.3,86,100,3.87,GL,1627687658
Fortuna,40.5982,-124.1573,61.14,84,40,13.8,US,1627687660
Bundaberg,-24.85,152.35,64.69,72,0,3.44,AU,1627687662
Fort Nelson,58.8053,-122.7002,83.79,26,20,4.61,CA,1627687664
Bathsheba,13.2167,-59.5167,83.01,78,40,14.97,BB,1627687667
Myitkyina,25.3833,97.4,74.66,99,100,0.25,MM,1627687669
Lavrentiya,65.5833,-171.0,45.23,90,99,6.53,RU,1627687671
Touros,-5.1989,-35.4608,77.9,79,41,16.46,BR,1627687640
Rawson,-43.3002,-65.1023,51.58,37,100,17.58,AR,1627687676
Vardø,70.3705,31.1107,47.8,86,87,12.46,NO,1627687678
Katsuura,35.1333,140.3,80.71,75,8,10.67,JP,1627687680
Kruisfontein,-34.0033,24.7314,50.54,78,6,5.39,ZA,1627687682
Brainerd,46.358,-94.2008,78.82,47,90,11.5,US,1627687685
Tuatapere,-46.1333,167.6833,49.82,95,100,4.12,NZ,1627687634
Kavaratti,10.5669,72.642,82.17,78,100,15.66,IN,1627687689
Shenzhen,22.5455,114.0683,85.86,94,62,4.97,CN,1627687575
Aljezur,37.3191,-8.8033,64.22,85,0,13.29,PT,1627687693
Maniitsoq,65.4167,-52.9,47.88,81,77,8.7,GL,1627687696
Gao,16.6362,1.637,91.38,40,35,6.17,ML,1627687698
Lincoln,40.8,-96.667,91.87,72,40,5.01,US,1627687700
Ginir,7.1333,40.7,57.4,81,99,10.69,ET,1627687702
Hambantota,6.1241,81.1185,79.38,81,23,17.78,LK,1627687705
Shingū,33.7333,135.9833,83.39,64,7,2.04,JP,1627687707
Shediac,46.2198,-64.5411,63.23,100,90,10.36,CA,1627687709
Yar-Sale,66.8333,70.8333,47.23,95,100,16.51,RU,1627687712
Chengde,40.9725,117.9361,68.41,90,2,2.01,CN,1627687714
Harper,4.375,-7.7169,76.84,84,68,10.07,LR,1627687716
Yumen,40.2833,97.2,75.43,20,0,15.97,CN,1627687719
Pinheiro Machado,-31.5783,-53.3811,44.06,77,1,2.95,BR,1627687721
Pespire,13.5922,-87.3617,92.44,49,36,3.33,HN,1627687723
Batemans Bay,-35.7167,150.1833,59.09,43,79,6.53,AU,1627687725
Estrela,-28.0611,-50.9383,36.68,80,0,3.53,BR,1627687728
Alugan,12.2188,125.4808,82.87,76,100,6.96,PH,1627687730
Port Alfred,-33.5906,26.891,57.88,73,24,6.35,ZA,1627687732
Ambilobe,-13.2,49.05,65.97,74,10,4.21,MG,1627687734
Bethel,41.3712,-73.414,76.93,51,20,1.99,US,1627687609
Kiruna,67.8557,20.2251,50.92,87,90,0.0,SE,1627687739
Iqaluit,63.7506,-68.5145,55.13,67,90,9.22,CA,1627687741
Passagem Franca,-6.1797,-43.7836,79.97,50,59,1.14,BR,1627687743
Road Town,18.4167,-64.6167,83.19,78,40,10.36,VG,1627687745
São Filipe,14.8961,-24.4956,76.05,84,61,7.23,CV,1627687748
Watsa,3.0372,29.5355,65.52,96,100,2.57,CD,1627687750
Lorengau,-2.0226,147.2712,83.82,72,61,4.32,PG,1627687587
Kunming,25.0389,102.7183,62.53,100,40,4.47,CN,1627687754
Masvingo,-20.0637,30.8277,51.84,61,19,6.64,ZW,1627687757
Halifax,44.6453,-63.5724,67.69,93,100,1.01,CA,1627687548
College,64.8569,-147.8028,71.55,53,75,9.22,US,1627687527
Arraial do Cabo,-22.9661,-42.0278,66.16,59,20,5.75,BR,1627687622
Beloha,-25.1667,45.05,63.75,88,0,4.56,MG,1627687633
Suzun,53.7841,82.3116,52.21,73,64,1.88,RU,1627687767
Ambon City,-3.6954,128.1814,78.94,89,40,4.61,ID,1627687625
Porbandar,21.6422,69.6093,81.48,85,100,21.79,IN,1627687771
Havelock,34.8791,-76.9013,91.06,86,40,5.01,US,1627687774
Saskylakh,71.9167,114.0833,76.91,38,11,8.05,RU,1627687776
Tasiilaq,65.6145,-37.6368,48.36,79,21,2.21,GL,1627687778
Ukiah,39.1502,-123.2078,107.53,12,1,11.5,US,1627687502
Cidreira,-30.1811,-50.2056,50.38,75,0,5.64,BR,1627687782
Henderson,36.0397,-114.9819,98.04,41,1,17.27,US,1627687636
Buala,-8.145,159.5921,83.8,71,83,4.61,SB,1627687787
Marsá Maţrūḩ,31.3525,27.2453,79.43,81,0,12.5,EG,1627687789
Lakatoro,-16.0999,167.4164,78.62,58,10,6.62,VU,1627687791
Torbay,47.6666,-52.7314,59.76,85,90,21.85,CA,1627687794
St. George's,12.0564,-61.7485,82.08,78,20,14.97,GD,1627687796
Gazli,40.1333,63.45,80.58,19,86,16.6,UZ,1627687798
Progreso,21.2833,-89.6667,87.12,72,9,17.92,MX,1627687800
Ilo,-17.6394,-71.3375,58.98,84,89,1.9,PE,1627687803
Codrington,-38.2667,141.9667,54.39,80,64,14.63,AU,1627687805
Hobyo,5.3505,48.5268,75.97,79,100,23.91,SO,1627687807
Ranong,9.9658,98.6348,80.53,88,100,12.82,TH,1627687810
Hurghada,27.2574,33.8129,88.59,30,99,12.73,EG,1627687812
Udachny,66.4167,112.4,72.01,35,0,5.64,RU,1627687814
Monte Plata,18.807,-69.784,85.62,91,40,3.29,DO,1627687816
Klaksvík,62.2266,-6.589,47.32,83,100,18.39,FO,1627687819
Atakpamé,7.5333,1.1333,69.98,94,100,4.43,TG,1627687821
Raudeberg,61.9875,5.1352,54.86,77,39,15.77,NO,1627687823
Fukuechō,32.6881,128.8419,82.76,94,75,8.05,JP,1627687825
Winnemucca,40.973,-117.7357,96.85,16,20,3.44,US,1627687828
Te Anau,-45.4167,167.7167,45.5,95,100,2.39,NZ,1627687830
Santa Cruz de la Sierra,-17.8,-63.1667,66.25,39,75,0.0,BO,1627687602
Fairbanks,64.8378,-147.7164,71.56,54,90,5.75,US,1627687802
Emerald,-23.5333,148.1667,64.54,82,90,4.61,AU,1627687836
Mossamedes,-15.1961,12.1522,68.05,75,40,6.2,AO,1627687839
Namatanai,-3.6667,152.4333,84.34,69,94,3.49,PG,1627687841
Takaka,-40.85,172.8,61.38,68,58,4.36,NZ,1627687843
Binabalian Ricor,16.4202,119.9279,82.11,84,100,18.19,PH,1627687845
Rāzole,16.4833,81.8333,79.38,82,100,7.09,IN,1627687848
Maniwaki,46.3834,-75.966,61.34,58,7,5.75,CA,1627687850
Saint-Augustin,51.226,-58.6502,57.87,81,100,7.47,CA,1627687852
Itinga,-16.6131,-41.7653,64.54,76,99,5.79,BR,1627687855
Tinskoy,56.1525,96.9161,59.41,76,95,2.57,RU,1627687857
Cabedelo,-6.9811,-34.8339,75.87,81,93,11.45,BR,1627687859
San Anselmo,37.9747,-122.5616,97.74,65,1,1.99,US,1627687861
Malinovskiy,61.1953,62.8397,49.66,97,32,4.72,RU,1627687864
Dhrāngadhra,22.9833,71.4667,81.09,78,100,14.14,IN,1627687866
Tabas,33.5959,56.9244,82.53,25,0,4.16,IR,1627687773
Bestöbe,52.4994,73.0975,62.76,43,94,11.95,KZ,1627687870
Dzhankoy,45.7167,34.4,73.76,72,47,4.61,UA,1627687872
Galle,6.0367,80.217,79.16,83,55,12.95,LK,1627687875
Coquimbo,-29.9533,-71.3436,49.73,87,20,5.75,CL,1627687877
Plymouth,41.8334,-70.8328,76.23,61,75,11.5,US,1627687879
Birao,10.2849,22.7882,71.4,82,90,1.63,CF,1627687882
Taiyuan,37.8694,112.5603,73.26,73,0,0.0,CN,1627687884
Rubik,41.7744,19.7861,71.26,43,0,4.34,AL,1627687886
Richards Bay,-28.783,32.0377,59.25,89,0,6.04,ZA,1627687646
Nacala,-14.5428,40.6728,67.98,89,13,9.62,MZ,1627687891
Gogrial,8.5332,28.1004,71.74,95,98,5.01,SS,1627687893
Bull Savanna,17.8868,-77.5902,78.98,79,7,13.13,JM,1627687895
San Borja,-14.8167,-66.85,58.89,52,30,3.71,BO,1627687897
Chapecó,-27.0964,-52.6183,51.55,58,0,11.5,BR,1627687900
Melfi,40.9965,15.6514,77.7,41,0,6.15,IT,1627687902
Kālna,23.2167,88.3667,82.27,92,100,7.31,IN,1627687904
Tshikapa,-6.4167,20.8,73.63,35,3,2.21,CD,1627687907
Coahuayana Viejo,18.7333,-103.6833,89.08,75,100,3.22,MX,1627687671
Wattegama,6.7989,81.4808,74.98,78,3,4.47,LK,1627687911
Diego de Almagro,-26.3667,-70.05,65.32,24,34,3.49,CL,1627687888
Bandarbeyla,9.4942,50.8122,76.23,70,29,23.76,SO,1627687915
Ekaterinburg,56.8575,60.6125,58.59,100,20,4.47,RU,1627687918
Corn Island,12.1694,-83.0418,82.11,80,100,13.47,NI,1627687920
Yerofey Pavlovich,53.9667,121.9667,58.77,71,96,3.96,RU,1627687922
Waterloo,43.4668,-80.5164,70.32,62,20,8.01,CA,1627687644
Mareeba,-17.0,145.4333,73.33,83,89,6.02,AU,1627687926
Vao,-22.6667,167.4833,67.82,56,1,23.71,NC,1627687929
San Jose,37.3394,-121.895,102.11,42,20,11.5,US,1627687699
Monticello,45.3055,-93.7941,80.78,58,1,3.44,US,1627687933
Uthal,25.8072,66.6219,82.17,81,69,4.52,PK,1627687935
Borinskoye,52.4569,39.3713,63.5,92,0,7.14,RU,1627687938
Baní,18.2833,-70.3333,85.44,79,3,8.63,DO,1627687940
Chepareria,1.3077,35.2039,61.99,84,100,1.32,KE,1627687942
Piranshahr,36.701,45.1413,65.1,65,0,6.29,IR,1627687944
Mopti,14.6667,-4.0,88.97,51,15,11.5,ML,1627687947
Praxédis Guerrero,31.3667,-106.0167,95.29,27,39,18.63,MX,1627687949
Waterbury,41.5582,-73.0515,75.72,48,20,11.5,US,1627687951
Porto-Novo,6.4965,2.6036,80.42,85,99,7.63,BJ,1627687953
Prince Albert,53.2001,-105.7677,84.15,28,40,8.05,CA,1627687837
Lake Shasta,40.6804,-122.3708,105.93,22,16,3.0,US,1627687958
Albanel,48.8832,-72.4487,55.54,88,100,14.97,CA,1627687960
Patiya,22.2931,91.9762,76.15,93,100,7.54,BD,1627687962
Baykit,61.67,96.37,56.77,97,100,1.3,RU,1627687965
San Cristobal,7.7669,-72.225,80.78,98,60,4.38,VE,1627687967
Kahului,20.8947,-156.47,87.82,68,40,26.46,US,1627687969
Sisimiut,66.9395,-53.6735,52.99,64,45,1.1,GL,1627687972
Ixtapa,20.7,-105.2,86.23,74,90,9.22,MX,1627687974
Deer Lake,49.1667,-57.4316,62.46,72,90,5.75,CA,1627687976
Kilindoni,-7.9139,39.6668,75.06,83,78,24.65,TZ,1627687978
Key Largo,25.0865,-80.4473,88.0,66,73,8.68,US,1627687981
Thinadhoo,0.5333,72.9333,81.41,74,83,2.26,MV,1627687983
Haselünne,52.6667,7.4833,61.12,82,8,6.91,DE,1627687985
Kaeo,-35.1,173.7833,62.33,83,100,18.28,NZ,1627687987
Turukhansk,65.8167,87.9833,58.37,87,98,8.86,RU,1627687990
Awjilah,29.1081,21.2869,85.35,25,3,9.08,LY,1627687992
Skibbereen,51.55,-9.2667,58.8,85,81,11.9,IE,1627687994
Dergachi,51.2328,48.7659,72.77,44,60,8.57,RU,1627687996
Kiunga,-6.1219,141.2906,73.08,99,100,2.04,PG,1627687999
Ankazoabo,-22.2833,44.5167,61.09,69,2,5.75,MG,1627688001
Carndonagh,55.25,-7.2667,56.53,95,79,7.56,IE,1627688003
Jumla,29.2747,82.1838,61.41,98,99,0.34,NP,1627688005
Mahon,39.8885,4.2658,77.56,88,90,4.61,ES,1627688008
Saint-François,46.4154,3.9054,64.42,90,0,0.0,FR,1627688010
Tura,25.5198,90.2201,74.59,99,100,4.41,IN,1627688012
Norman Wells,65.282,-126.8329,82.44,32,20,5.75,CA,1627688014
Ust'-Karsk,52.7011,118.8077,65.5,61,92,8.75,RU,1627688017
Flinders,-34.5833,150.8552,58.37,55,53,1.99,AU,1627687722
Constitución,-35.3333,-72.4167,51.94,85,57,10.65,CL,1627688021
Caravelas,-17.7125,-39.2481,67.28,79,100,10.69,BR,1627688023
Metro,-5.1131,105.3067,75.13,89,26,4.61,ID,1627688025
Lata,40.1629,-8.3327,62.04,94,31,5.53,PT,1627688028
Pangnirtung,66.1451,-65.7125,58.32,61,87,2.66,CA,1627688030
